id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
31773|Tukang Las/Welder|Banten|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Tidak terspesifikasi|Penuh Waktu|Manufaktur,Manufaktur||||Bahan Kimia/Pupuk/Pestisida|Deskripsi PekerjaanKualifikasi:Sehat jasmani dan rohaniUsia maksimal 35 tahunPengalaman di bidang yang sama minimal 3 tahunBertanggung jawabMengerti produksi yang berkaitan dengan lasBerpengalam dibidang pengelasan Pipa-pipa bertekananDapat dengan presisi dalam memotong besiMemiliki sertifikat WELDER
31774|JUNIOR PROGRAMMER|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Tidak terspesifikasi|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Kasual (contoh: Kaos);BPJS, Jamsostek;Sen-Jum dan Sabtu|29 days|2001 - 5000 pekerja|Manufaktur/Produksi|IT JUNIOR PROGRAMERPERSON SPECIFICATIONConfident and able to communicate at all levels.Able to demonstrate a sense of reliability and responsibility.A can-do attitude.A passion for software development.Hungry to learn and improve as a programmer.ROLE AND RESPONSIBILITIESWrite, update and maintain new and existing projects across all major platforms and languages.Develop new program or software.Collaborate with a multi-disciplinary team to deliver features to deadlines.Create and assist with code reviews.Take ownership of systems and features.ESSENTIAL SKILLSStrong proficiency with Visual Basic .NET and/or C#.Experience developing with Web Service and/or RESTFul API.Strong in object-oriented programming concept.A technical bias, with an interest in getting stuck-in to difficult problems every dayHighly motivated, ability to use initiative and quick to learn new techniques.Excellent communication skills (oral and written).Excellent workload and time management skills.Significant analytical and problem-solving capability, including high degree of accuracy and attention to detail and a flexible and pragmatic approach.DESIRABLE SKILLSExperience in developing graphical user interfaces.Skills in developing interfaces to support end-user scripting.Familiarity with Laravel, Angular, Nest Js.Familiarity with SQL and/or NoSQL Database (ex. SQL Server, MySQL, MongoDB).If you find yourself qualified for the above, let's join our team.See you soon!!
31775|Coding Educator|Bali|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pendidikan/Pelatihan,Pendidikan|Bisnis (contoh: Kemeja);Flexible|5 days|1001 - 2000 pekerja|Pendidikan|"Jadilah Coding Educator di BrightChamps hanya jika anda :Memiliki Kemampuan Komunikasi yang BaikMencintai Dunia PendidikanSenang Berinteraksi dengan Anak-anakMencari Pekerjaan Remote (WFH) dengan GAJI TINGGIBrightChamps merupakan perusahaan multi-nasional berbasis Ed-Tech yang sudah memiliki Cabang di lebih dari 10 Negara di Dunia. BrightChamps merupakan salah satu StartUp dengan pertumbuhan tercepat di India.Persyaratan:S1 / Sederajat (Teknik, IT, Matematika, Sains)Memiliki Pengetahuan Dasar tentang Coding / ProgrammingPassion dalam menangani anak-anakMampu Menciptakan Suasana Belajar yang NyamanSiap Bekerja Full Time (180 Jam per Bulan)Benefit :GAJI TINGGI : Mencapai 15 Juta per Bulan100% Work From HomeJenjang Karir Luas (Kesempatan Grow yang Banyak)Support System yang Canggih dan ProfessionalHanya jika ANDA memenuhi kriteria, ACTION sekarang juga!""Kami menerima Kandidat dari Seluruh Indonesia""All Resumes will be handled strictly confidential and only shortlisted candidates will be contacted."
31776|Corporate Finance|Jakarta Raya|IDR|Supervisor/Koordinator|3 tahun|Tidak terspesifikasi|Penuh Waktu|Akuntansi / Keuangan,Keuangan / Investasi Perusahaan |Tunjangan Pendidikan;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|20 days|201 - 500 pekerja|Retail/Merchandise|Corporate FinanceSurabaya, IndonesiaAbout SuperWe are a group of business enthusiasts, scientists, communicators, designers, productive mothers and many more who are unified and unduly spirited to work towards one big vision and goal. As a leading social commerce platform in Indonesia, we aim to solve economic inequality distribution across rural areas by building agent networks and hyperlocal supply chains to make goods more affordable. Aplikasi Super goes beyond the passion and creativity to decipher social issues among our surroundings.A Corporate Finance is responsible for helping an organization or company make important business decisions based on financial data. This role performs critical roles in business by analyzing and examining data and coming up with accurate and efficient information on profitability, credibility, solidity, and liquidity. In other words, a corporate finance analyst is responsible for operating regularly with the company’s goals and financial situation in mind.Job Description :Assessing and creating or developing business cases and investment proposals for divisional and corporate projectsExamining and coordinating business plans, inspecting planning assumptions, and identifying and resolving any issue that may ariseMaking clear and concise recommendations to stakeholders.Analyzing new investment and business opportunities through valuation modelsAnalyzing the organization’s daily cash position and determining where money should be investedRequirements :Majoring in Accounting, Management, Economic, or related fieldsThorough, Diligent, and Neat at workAble to adapt in working at fast-paced organizationJoin SuperAt Super, we are continuously providing equal, unparalleled opportunities across various business operating pillars from operations, commercial, and technology for all candidates from diverse types of background and expertise.If you are someone with high passion towards delivering innovative work as part of your extraordinary career, committed to self-integrity, enjoy working collaboratively, and ready to work in an agile environment, you are very welcome to apply. You will also have tremendous opportunities to hone your functional skills and expertise in an area of specialization. The sheer variety of work we do, and inherent experience of creating meaningful social impact it offers, provide an unbeatable platform from which to build a fulfilling career.#GabungSedulurSuper and help solve Indonesia’s unequal economic distribution.
31777|Procurement cum Estimator/Quantity Surveyor|Banten|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Tidak terspesifikasi|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Komunikasi, Transport|17 days|1- 50 pekerja|Pelayanan Arsitek/Desain Interior|Kode Lamaran : Procurement (PO)Estimator/Quantity Surveyor (QS)Tugas Dan Tanggung Jawab Procurement :Merencanakan dan melakukan pembelian atau penyediaan keperluan proyek tepat waktuMenyesuaikan spesifikasi barang atau jasa yang dibutuhkan PerusahaanMencari vendor atau supplier, menghubungi dan membuat perjanjian dengan pihak supplier atau vendor.Menganalisa perbandingan biaya pembelian dari supplier atau vendorMenegosiasikan harga, pengiriman, dan waktu pembayaranMenerima tagihan pembayaran dari vendor dan supplierPembuatan kontrak kerja sama antara vendor/supplier dengan perusahaanMelakukan kontrol persediaan barang proyekTugas dan Tanggung Jawab Estimator/Quantity Surveyor:Menghitung Bill of Quantity / RAB proyek untuk penawaran / tender ke klienMempersiapkan Dokumen Tender dan mampu mempresentasikan / menjelaskan ke klien.Menyiapkan BOQ untuk keperluan kontrak dengan vendor terkait.Bertanggung jawab untuk melakukan perhitungan kebutuhan kuantitas material dan pekerjaan di lapangan sesuai dengan gambar kerja, BOQ dan RAB untuk dilanjutkan ke divisi procurement.Bekerjasama dengan baik bersama tim kantor , client, sub-con, dan tim operasional di lapangan agar semua kegiatan pekerjaan dapat berjalan dengan baikPersyaratan dan Kualifikasi:Kandidat harus memiliki Gelar Sarjana di Teknik Sipil./ ArsitekturMemiliki 2 tahun pengalaman dalam bidang quantity surveyor di perusahaan konsultan/kontraktorMemiliki skill kalkulasi dan pengetahuan teknis yang baik dalam bidang konstruksi bangunan, interior dan furnitureMemiliki skill yang baik dalam penggunaan AutoCAD dan Microsoft OfficeKarakter/Kemampuan yang harus dimiliki: Jujur, bertanggung jawab, teliti, disiplin, cekatan dan memiliki skill yang baik dalam berkomunikasi
31778|Content Marketer|Surabaya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing||||Umum & Grosir|Content MarketerKualifikasi: - Mampu menggunakan Facebook Ads, IG Ads, Google Ads, SEO, dsb- Mampu mengelola sosial media- Pengalaman dalam bidang digital marketing minimal 1 tahun- Mampu menjadi content creator (Edit Foto dan Video)- Jujur, disiplin, sopan dan ramah- Mampu bekerja secara berkelompok(nb : ada kenaikan gaji)
31779|Procurment Manager|Jakarta Raya|IDR|Manajer/Asisten Manajer|2 tahun|Tidak terspesifikasi|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material|Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|29 days|1- 50 pekerja|Konsultasi (Bisnis & Manajemen)|Dibutuhkan Procurment ManagerPendidikan : S1 (Segala Jurusan)Pengalaman : Minimal 2 tahunBisa mengenderai kendaraan dan memiliki Sim APenghasilan Gaji Start Rp. 7.500.000.-InsentifBPJSInsurancePenempatan Jakarta
31780|CLINIC Operation Manager|Sumatera Utara|IDR|Manajer/Asisten Manajer|5 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Layanan Kesehatan,Praktisi/Asisten Medis|||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|# must have good experiences in above field# excellent team worker and good decision making# work place in Medan and must attend Online also Offline interview# multi task person with good attitude# experiences in online also offline businesses# do not apply again if you have previously done so# must be able to demonstrate excellent communication skillsMust have experience in Clinic operationMust be able to demonstrate critical decision making
31781|Teknisi Pabrik Es Batu ( Serpong Tangerang )|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Manufaktur,Pemeliharaan|Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|25 days|1001 - 2000 pekerja|Makanan & Minuman/Katering/Restoran|Minimal Diploma atau SMK sederajat diutamakan jurusan pendingin udara dan atau memahami proses pendinginan Cold Storage, AC dan tata udara (HVAC)Memiliki pengalaman minimal 1 tahun di bidang yang sama, batas usia maksimal 30 tahunMemahami Progam PLCMemahami diagram kelistrikanTerbiasa menangani mesin Chiller, AC dan Cold Storage, Refrigerator baik service/overhoule maupun perbaikanJujur, ulet, tanggung jawab, pantang menyerah, terbiasa bekerja shifting dan pekerja keras. Bersedia di tempatkan di daerah Serpong Tangerang
31782|Team Leader Customer Service|Jakarta Utara|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pelayanan,Layanan Pelanggan|Kasual (contoh: Kaos)|27 days|51 - 200 pekerja|Konsultasi (Bisnis & Manajemen)|Requirement :M*le OnlyHave experience in the sama roleHave experience more than 2 yearsProficient knowledge of customer service, and standard office practices and procedures.Proficient computer skills.Have a good leadership personalityREADY to be place out of Indonesia ( ASIA )Task :Overseeing and assessing customer service staff activities, and providing them with regular performance-related feedback.Strategizing and monitoring the daily activities of customer service operations.Assisting customer service staff with duties where required.Monitoring and authenticating returns, exchanges, and voids.Investigating and solving customer service complaints.Assisting with the development and implementation of service policies, and explaining these to staff and customers.Maintaining documentation pertaining to customer service department activities.Performing additional duties where needed.Benefit :Bonus Twice a year ( base on KPI )Travel allowanceMeal allowance
31783|Sales Executive Domestic Freight Forwarding|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pelayanan,Logistik/Rantai Pasokan||||Transportasi/Logistik|Kami memerlukan Sales Marketing untuk mencari dan membantu pelanggan yang memerlukan jasa pengiriman logistik. Kandidat akan bekerja langsung dengan pemilik bisnis untuk mengeksekusi visi, misi, serta strategi bisnis perusahaan.Tanggung JawabMencari customer perusahaan yang dapat dipercaya dengan mengedepankan integritas dan loyalitas. Dapat membangun visi misi owner nya dalam hal mencari customerMempunya target value/profit yang jelas dan tepat.Dapat berkomunikasi dengan baik, sopan dan tim kerja, customer dan owner.Menyelesaikan, memonitoring dalam hal pelayanan pengiriman barang yang di peroleh sampai ke tujuan.Membuat evuasi laporan perminggu terkait proses kerjanya (dipresentasikan).Kriteria Lulisan D3/S1.Jujur dan pekerja kerasSiap bekerja di bawah tekananPernah bekerja sebagai marketing di frieght forwarding khusunya intersular minimal 1 sampai 2 tahun.Energik dan lincah sertah patuh.Loyal, customer fokus dan mempunyai integritas.Jam kerja.Senin sampai sabtu jam 8 sd 16.30 Hari besar liburTinggal di daerah Jakarta Utara dan sekitarnya.(Sewaktu2 masuk bila di butuhkan owner) rapat online.Benefit Gaji 4 sd 5 juta Ada tempat parkir kendaraan motorRuangan kerja ber ACDisedikan pulsa untuk berkomunikasi (200 sd 150 ribu) perbulanLewat 3 bulan akan dibuatkan BPJS dengan standard kelas 3 (hanya bagi pekerja).Adanya komisi bila target tercapai.Adanya pergatian dana transportasi bila sedang mencari customer dengan melampirkan bukti-bukti yang akuntable.
